date,Temperature,CloudOpacity,DHI,DNI,Radiation,Precipitation,Humidity,Pressure,WindDirection,WindSpeed,Sunrise,Sunset,Month
2018-12-31,18.338461538461537,3.8,76.76923076923077,710.6153846153846,519.3846153846154,10.330769230769231,46.215384615384615,783.176923076923,81.6923076923077,4.269230769230769,0,19,12
2019-01-01,18.06923076923077,0.2846153846153846,54.84615384615385,792.0,535.7692307692307,9.546153846153846,38.97692307692308,783.8846153846154,87.84615384615384,3.069230769230769,0,19,1
2019-01-02,19.292307692307695,0.7384615384615386,57.76923076923077,767.6153846153846,527.1538461538462,14.03076923076923,38.91538461538461,783.6615384615385,90.3076923076923,2.6153846153846154,0,19,1
2019-01-03,19.423076923076923,4.6923076923076925,67.07692307692308,700.8461538461538,513.6923076923077,17.86923076923077,49.01538461538462,783.9307692307692,77.15384615384616,4.1692307692307695,0,19,1
2019-01-04,17.607692307692307,0.43846153846153846,49.30769230769231,825.0769230769231,547.4615384615385,6.7846153846153845,37.96153846153846,784.176923076923,71.76923076923077,5.6,0,19,1
2019-01-05,17.115384615384617,0.4230769230769231,49.38461538461539,824.8461538461538,547.3846153846154,7.038461538461538,36.90769230769231,783.5692307692308,79.23076923076923,4.707692307692308,0,19,1
2019-01-06,17.607692307692307,4.6461538461538465,69.84615384615384,708.2307692307693,530.8461538461538,9.153846153846153,32.86923076923077,782.6846153846153,77.6923076923077,3.3230769230769233,0,19,1
2019-01-07,18.492307692307694,1.4846153846153847,55.07692307692308,787.0,543.9230769230769,7.984615384615385,26.184615384615384,782.4846153846154,73.53846153846153,3.053846153846154,0,19,1
2019-01-08,18.346153846153847,0.43076923076923074,49.0,838.4615384615385,557.3076923076923,4.8769230769230765,24.23846153846154,782.4076923076923,75.15384615384616,3.838461538461538,0,19,1
2019-01-09,18.146153846153847,0.3153846153846154,47.38461538461539,823.4615384615385,547.4615384615385,8.653846153846153,30.96153846153846,782.4153846153846,75.3076923076923,3.8,0,19,1
2019-01-10,18.13076923076923,0.3153846153846154,50.53846153846154,818.1538461538462,550.3076923076923,7.576923076923077,32.93846153846154,782.9615384615385,81.23076923076923,3.5923076923076924,0,19,1
2019-01-11,17.653846153846153,0.6,51.23076923076923,823.0769230769231,555.5384615384615,6.2846153846153845,30.700000000000003,783.0307692307692,78.23076923076923,4.661538461538462,0,19,1
2019-01-12,17.407692307692308,0.7153846153846153,54.92307692307692,817.7692307692307,555.9230769230769,6.3538461538461535,34.11538461538461,782.0384615384615,87.53846153846153,4.6230769230769235,0,19,1
2019-01-13,18.184615384615384,0.29230769230769227,50.07692307692308,835.4615384615385,560.9230769230769,5.738461538461538,29.83846153846154,782.8076923076923,95.46153846153847,3.6076923076923078,0,19,1
2019-01-14,19.423076923076923,0.3692307692307693,48.30769230769231,856.4615384615385,572.0,3.769230769230769,23.661538461538463,782.5999999999999,99.76923076923077,2.2,0,19,1
2019-01-15,19.623076923076923,0.5076923076923077,51.0,825.8461538461538,563.6153846153846,5.6461538461538465,23.9,783.0,90.15384615384616,2.784615384615385,0,19,1
2019-01-16,19.807692307692307,0.5153846153846154,55.15384615384615,784.9230769230769,547.1538461538462,11.600000000000001,37.93846153846154,782.8846153846154,96.46153846153847,2.4,0,19,1
2019-01-17,20.50769230769231,0.6307692307692307,56.76923076923077,787.6153846153846,549.1538461538462,11.23076923076923,34.284615384615385,782.3384615384615,90.38461538461539,2.776923076923077,0,19,1
2019-01-18,18.323076923076922,0.9384615384615385,66.6923076923077,772.5384615384615,553.6153846153846,7.676923076923076,38.93076923076923,782.3153846153847,77.76923076923077,4.030769230769231,0,19,1
2019-01-19,18.653846153846153,3.0615384615384613,102.84615384615384,686.4615384615385,536.9230769230769,8.346153846153847,33.93076923076923,782.376923076923,81.3076923076923,2.338461538461538,0,19,1
2019-01-20,19.123076923076923,2.523076923076923,89.53846153846153,710.1538461538462,540.7692307692307,9.76923076923077,37.7,783.2307692307693,81.3076923076923,2.6846153846153844,0,19,1
2019-01-21,19.353846153846153,1.223076923076923,67.15384615384616,767.3076923076923,555.4615384615385,8.038461538461538,36.03846153846154,783.5,91.23076923076923,1.5307692307692307,0,19,1
2019-01-22,20.03846153846154,0.9846153846153847,67.15384615384616,761.0,553.6923076923077,9.423076923076923,30.653846153846153,782.5153846153846,88.3076923076923,2.4,0,19,1
2019-01-23,19.784615384615385,0.9846153846153846,74.6923076923077,759.0,557.0769230769231,6.861538461538462,24.16923076923077,782.2461538461539,99.3076923076923,2.4076923076923076,0,19,1
2019-01-24,20.46153846153846,0.9692307692307692,84.53846153846153,710.7692307692307,546.3076923076923,10.3,31.16923076923077,783.0230769230768,93.23076923076923,2.8846153846153846,0,19,1
2019-01-25,20.04615384615385,1.376923076923077,85.07692307692308,703.6923076923077,546.6153846153846,10.823076923076922,41.83846153846154,783.3846153846154,81.84615384615384,3.430769230769231,0,19,1
2019-01-26,20.138461538461538,1.3923076923076925,96.0,682.7692307692307,547.1538461538462,8.96923076923077,34.57692307692308,783.2846153846154,88.23076923076923,3.707692307692308,0,19,1
2019-01-27,20.161538461538463,1.2923076923076924,86.07692307692308,715.3076923076923,550.8461538461538,9.830769230769231,43.05384615384616,783.4923076923077,84.3076923076923,3.069230769230769,0,19,1
2019-01-28,20.4,0.6923076923076923,68.92307692307692,769.3846153846154,564.9230769230769,7.676923076923076,38.42307692307692,783.3307692307692,87.3076923076923,2.707692307692308,0,19,1
